RefID, ClusterID
A990391, A990391
A990392, A990392
A990393, A990393
A990394, A990394
A990395, A990395
A990396, A990396
A990397, A990397
A990398, A990398
A990399, A990399
A990400, A990400
A990401, A990401
A990402, A990402
A990403, A990403
A990404, A990404
A990405, A990405
A990406, A990406
A990407, A990407
A990408, A990408
A990409, A990409
A990410, A990294
A990411, A990411
A990412, A990412
A990413, A990413
A990414, A990414
A990415, A990415
A990416, A990416
A990417, A990417
A990418, A990418
A990419, A990419
A990420, A990420
A990421, A990421
A990422, A990422
A990423, A990423
A990424, A990424
A990425, A990425
A990426, A990426
A990427, A990427
A990428, A990428
A990429, A990429
A990430, A990430
A990431, A990431
A990432, A990432
A990433, A990433
A990434, A990434
A990435, A990435
A990436, A990436
A990437, A990437
A990438, A990438
A990439, A990439
A990440, A990440
A990441, A989125
A990442, A990442
A990443, A990443
A990444, A990444
A990445, A990445
A990446, A990446
A990447, A990447
A990448, A990448
A990449, A990449
A990450, A990450
A990451, A990451
A990452, A990452
A990453, A990453
A990454, A990454
A990455, A990455
A990456, A990456
A990457, A990457
A990458, A990458
A990459, A990459
A990460, A990460
A990461, A990461
A990462, A990462
A990463, A990463
A990464, A990464
A990465, A990465
A990466, A990466
A990467, A990467
A990468, A990468
A990469, A990469
A990470, A990470
A990471, A990471
A990472, A990472
A990473, A990473
A990474, A990474
A990475, A990475
A990476, A990476
A990477, A990477
A990478, A990478
A990479, A989532
A990480, A990480
A990481, A990481
A990482, A990482
A990483, A990483
A990484, A990484
A990485, A990485
A990486, A990486
A990487, A990487
A990488, A990488
A990489, A990489
A990490, A990490
A990491, A990491
A990492, A990492
A990493, A990493
A990494, A990494
A990495, A990495
A990496, A990496
A990497, A990497
A990498, A990498
A990499, A990198
A990500, A990500
A990501, A990501
A990502, A990502
A990503, A990503
A990504, A990504
A990505, A990505
A990506, A990506
A990507, A990507
A990508, A990508
A990509, A990509
A990510, A990510
A990511, A990511
A990512, A990512
A990513, A990513
A990514, A990514
A990515, A990515
A990516, A990516
A990517, A990517
A990518, A990518
A990519, A990519
A990520, A990520
A990521, A990521
A990522, A990522
A990523, A990523
A990524, A990524
A990525, A990525
A990526, A990526
A990527, A990527
A990528, A990528
A990529, A990529
A990530, A990530
A990531, A990531
A990532, A990532
A990533, A990533
A990534, A990534
A990535, A990535
A990536, A990536
A990537, A990537
A990538, A990538
A990539, A990539
A990540, A990540
A990541, A990541
A990542, A990542
A990543, A990543
A990544, A990544
A990545, A989041
A990546, A990546
A990547, A990547
A990548, A990548
A990549, A990549
A990550, A990550
A990551, A990551
A990552, A990552
A990553, A990553
A990554, A990554
A990555, A990555
A990556, A990556
A990557, A990557
A990558, A990558
A990560, A990560
A990561, A990561
A990562, A990562
A990563, A990563
A990564, A990564
A990565, A990565
A990566, A990566
A990567, A990567
A990568, A990568
A990569, A990569
A990570, A990570
A990571, A990555
A990572, A990572
A990573, A990573
A990574, A990574
A990575, A990575
A990576, A990576
A990577, A990577
A990578, A990578
A990579, A990579
A990580, A990580
A990581, A990581
A990582, A990582
A990583, A990583
A990584, A990584
A990585, A990585
A990586, A990586
A990587, A990587
A990588, A990588
A990589, A990354
A990590, A990590
A990591, A990591
A990592, A990592
A990593, A990593
A990594, A990594
A990595, A990595
A990596, A990596
A990597, A990597
